model_type,aggregation_strategy,privacy_technique,num_rounds,loss,mae,mse,r2,avg_training_time,avg_inference_time,total_samples,elapsed_time
knn,fedavg,none,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.03905200958251953,0.0003397034863115813,9334,27.229700803756714
knn,fedavg,clipping,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.035665273666381836,0.00040750933173690283,9334,48.17182159423828
knn,fedavg,noising,10,,28.84454681808442,1601.3937218770088,0.8863678121049084,0.03209209442138672,0.0002712360510408227,9334,30.01489496231079
knn,fedavg,clipping_noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
knn,fedmed,none,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
knn,fedmed,clipping,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
knn,fedmed,noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
knn,fedmed,clipping_noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
mlp,fedavg,none,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
mlp,fedavg,clipping,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
mlp,fedavg,noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
mlp,fedavg,clipping_noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
mlp,fedmed,none,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
mlp,fedmed,clipping,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
mlp,fedmed,noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
mlp,fedmed,clipping_noising,10,,8.520373901864152,145.99309816798797,0.9896405768701487,534.3806056976318,0.00016949665681795258,9334,33.27541899681091
